trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,frameRate,session,participant,
0,0,0,0,60.6479636543,001,,
1,0,1,0,60.6479636543,001,,
2,0,2,0,60.6479636543,001,,
3,0,3,0,60.6479636543,001,,
4,0,4,0,60.6479636543,001,,
