39.5162 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
39.5172 	EXP 	New trial (rep=0, index=0): None
39.5175 	EXP 	New trial (rep=1, index=0): None
39.5177 	EXP 	New trial (rep=2, index=0): None
39.5179 	EXP 	New trial (rep=3, index=0): None
39.5181 	EXP 	New trial (rep=4, index=0): None
39.5434 	EXP 	window1: mouseVisible = True
39.5434 	EXP 	window1: mouseVisible = True
6.3833 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

6.3846 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f5b2f9b1790>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
6.3850 	EXP 	window1: recordFrameIntervals = False
6.5466 	EXP 	window1: recordFrameIntervals = True
6.5837 	WARNING 	t of last frame was 20.58ms (=1/48)
6.8880 	WARNING 	t of last frame was 23.88ms (=1/41)
6.9381 	WARNING 	t of last frame was 25.08ms (=1/39)
6.9866 	WARNING 	t of last frame was 22.33ms (=1/44)
7.0378 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
8.2156 	WARNING 	Couldn't measure a consistent frame rate.
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

8.2182 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
8.2198 	EXP 	New trial (rep=0, index=0): None
8.2213 	EXP 	New trial (rep=1, index=0): None
8.2248 	EXP 	New trial (rep=2, index=0): None
8.2264 	EXP 	New trial (rep=3, index=0): None
8.2278 	EXP 	New trial (rep=4, index=0): None
8.2473 	EXP 	window1: mouseVisible = True
104.2935 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f5b2f9b11d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
104.2939 	EXP 	window1: recordFrameIntervals = False
104.4574 	EXP 	window1: recordFrameIntervals = True
104.8907 	EXP 	window1: recordFrameIntervals = False
105.0247 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Any text\n\nincluding line breaks', units=u'norm', win=Window(...), wrapWidth=1)
105.0263 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
105.0273 	EXP 	New trial (rep=0, index=0): None
105.0279 	EXP 	window1: blendMode = 'avg'
105.0320 	EXP 	text: autoDraw = True
105.0325 	EXP 	window1: blendMode = 'avg'
105.0371 	EXP 	window1: blendMode = 'avg'
105.0424 	EXP 	window1: blendMode = 'avg'
105.0485 	EXP 	window1: blendMode = 'avg'
105.0592 	EXP 	window1: blendMode = 'avg'
105.0759 	EXP 	window1: blendMode = 'avg'
105.0913 	EXP 	window1: blendMode = 'avg'
105.1077 	EXP 	window1: blendMode = 'avg'
105.1244 	EXP 	window1: blendMode = 'avg'
105.1428 	EXP 	window1: blendMode = 'avg'
105.1577 	EXP 	window1: blendMode = 'avg'
105.1749 	EXP 	window1: blendMode = 'avg'
105.1910 	EXP 	window1: blendMode = 'avg'
105.2094 	EXP 	window1: blendMode = 'avg'
105.2257 	EXP 	window1: blendMode = 'avg'
105.2408 	EXP 	window1: blendMode = 'avg'
105.2575 	EXP 	window1: blendMode = 'avg'
105.2742 	EXP 	window1: blendMode = 'avg'
105.2929 	EXP 	window1: blendMode = 'avg'
105.3074 	EXP 	window1: blendMode = 'avg'
105.3259 	EXP 	window1: blendMode = 'avg'
105.3404 	EXP 	window1: blendMode = 'avg'
105.3576 	EXP 	window1: blendMode = 'avg'
105.3759 	EXP 	window1: blendMode = 'avg'
105.3906 	EXP 	window1: blendMode = 'avg'
105.4080 	EXP 	window1: blendMode = 'avg'
105.4254 	EXP 	window1: blendMode = 'avg'
105.4415 	EXP 	window1: blendMode = 'avg'
105.4577 	EXP 	window1: blendMode = 'avg'
105.4760 	EXP 	window1: blendMode = 'avg'
105.4912 	EXP 	window1: blendMode = 'avg'
105.5080 	EXP 	window1: blendMode = 'avg'
105.5244 	EXP 	window1: blendMode = 'avg'
105.5429 	EXP 	window1: blendMode = 'avg'
105.5574 	EXP 	window1: blendMode = 'avg'
105.5789 	EXP 	window1: blendMode = 'avg'
105.5907 	EXP 	window1: blendMode = 'avg'
105.6075 	EXP 	window1: blendMode = 'avg'
105.6258 	EXP 	window1: blendMode = 'avg'
105.6401 	EXP 	window1: blendMode = 'avg'
105.6575 	EXP 	window1: blendMode = 'avg'
105.6770 	EXP 	window1: blendMode = 'avg'
105.6936 	EXP 	window1: blendMode = 'avg'
105.7083 	EXP 	window1: blendMode = 'avg'
105.7251 	EXP 	window1: blendMode = 'avg'
105.7418 	EXP 	window1: blendMode = 'avg'
105.7602 	EXP 	window1: blendMode = 'avg'
105.7768 	EXP 	window1: blendMode = 'avg'
105.7920 	EXP 	window1: blendMode = 'avg'
105.8103 	EXP 	window1: blendMode = 'avg'
105.8250 	EXP 	window1: blendMode = 'avg'
105.8435 	EXP 	window1: blendMode = 'avg'
105.8580 	EXP 	window1: blendMode = 'avg'
105.8770 	EXP 	window1: blendMode = 'avg'
105.8923 	EXP 	window1: blendMode = 'avg'
105.9100 	EXP 	window1: blendMode = 'avg'
105.9253 	EXP 	window1: blendMode = 'avg'
105.9416 	EXP 	window1: blendMode = 'avg'
105.9581 	EXP 	window1: blendMode = 'avg'
105.9763 	EXP 	window1: blendMode = 'avg'
105.9912 	EXP 	window1: blendMode = 'avg'
106.0078 	EXP 	window1: blendMode = 'avg'
106.0264 	EXP 	New trial (rep=1, index=0): None
106.0274 	EXP 	window1: blendMode = 'avg'
106.0404 	EXP 	text: autoDraw = False
106.0404 	EXP 	text: autoDraw = False
106.0404 	EXP 	text: autoDraw = True
106.0413 	EXP 	window1: blendMode = 'avg'
106.0597 	EXP 	window1: blendMode = 'avg'
106.0752 	EXP 	window1: blendMode = 'avg'
106.0934 	EXP 	window1: blendMode = 'avg'
106.1086 	EXP 	window1: blendMode = 'avg'
106.1264 	EXP 	window1: blendMode = 'avg'
106.1411 	EXP 	window1: blendMode = 'avg'
106.1582 	EXP 	window1: blendMode = 'avg'
106.1764 	EXP 	window1: blendMode = 'avg'
106.1914 	EXP 	window1: blendMode = 'avg'
106.2098 	EXP 	window1: blendMode = 'avg'
106.2260 	EXP 	window1: blendMode = 'avg'
106.2414 	EXP 	window1: blendMode = 'avg'
106.2600 	EXP 	window1: blendMode = 'avg'
106.2757 	EXP 	window1: blendMode = 'avg'
106.2940 	EXP 	window1: blendMode = 'avg'
106.3091 	EXP 	window1: blendMode = 'avg'
106.3257 	EXP 	window1: blendMode = 'avg'
106.3438 	EXP 	window1: blendMode = 'avg'
106.3596 	EXP 	window1: blendMode = 'avg'
106.3757 	EXP 	window1: blendMode = 'avg'
106.3941 	EXP 	window1: blendMode = 'avg'
106.4091 	EXP 	window1: blendMode = 'avg'
106.4275 	EXP 	window1: blendMode = 'avg'
106.4417 	EXP 	window1: blendMode = 'avg'
106.4578 	EXP 	window1: blendMode = 'avg'
106.4761 	EXP 	window1: blendMode = 'avg'
106.4908 	EXP 	window1: blendMode = 'avg'
106.5079 	EXP 	window1: blendMode = 'avg'
106.5261 	EXP 	window1: blendMode = 'avg'
106.5411 	EXP 	window1: blendMode = 'avg'
106.5578 	EXP 	window1: blendMode = 'avg'
106.5775 	EXP 	window1: blendMode = 'avg'
106.5909 	EXP 	window1: blendMode = 'avg'
106.6092 	EXP 	window1: blendMode = 'avg'
106.6246 	EXP 	window1: blendMode = 'avg'
106.6411 	EXP 	window1: blendMode = 'avg'
106.6576 	EXP 	window1: blendMode = 'avg'
106.6759 	EXP 	window1: blendMode = 'avg'
106.6903 	EXP 	window1: blendMode = 'avg'
106.7075 	EXP 	window1: blendMode = 'avg'
106.7262 	EXP 	window1: blendMode = 'avg'
106.7426 	EXP 	window1: blendMode = 'avg'
106.7569 	EXP 	window1: blendMode = 'avg'
106.7758 	EXP 	window1: blendMode = 'avg'
106.7910 	EXP 	window1: blendMode = 'avg'
106.8077 	EXP 	window1: blendMode = 'avg'
106.8268 	EXP 	window1: blendMode = 'avg'
106.8412 	EXP 	window1: blendMode = 'avg'
106.8586 	EXP 	window1: blendMode = 'avg'
106.8755 	EXP 	window1: blendMode = 'avg'
106.9010 	EXP 	window1: blendMode = 'avg'
106.9107 	EXP 	window1: blendMode = 'avg'
106.9255 	EXP 	window1: blendMode = 'avg'
106.9425 	EXP 	window1: blendMode = 'avg'
106.9587 	EXP 	window1: blendMode = 'avg'
106.9744 	EXP 	window1: blendMode = 'avg'
106.9926 	EXP 	window1: blendMode = 'avg'
107.0078 	EXP 	window1: blendMode = 'avg'
107.0258 	EXP 	New trial (rep=2, index=0): None
107.0261 	EXP 	window1: blendMode = 'avg'
107.0421 	EXP 	text: autoDraw = False
107.0421 	EXP 	text: autoDraw = False
107.0421 	EXP 	text: autoDraw = True
107.0426 	EXP 	window1: blendMode = 'avg'
107.0592 	EXP 	window1: blendMode = 'avg'
107.0758 	EXP 	window1: blendMode = 'avg'
107.0925 	EXP 	window1: blendMode = 'avg'
107.1076 	EXP 	window1: blendMode = 'avg'
107.1242 	EXP 	window1: blendMode = 'avg'
107.1425 	EXP 	window1: blendMode = 'avg'
107.1569 	EXP 	window1: blendMode = 'avg'
107.1743 	EXP 	window1: blendMode = 'avg'
107.1926 	EXP 	window1: blendMode = 'avg'
107.2070 	EXP 	window1: blendMode = 'avg'
107.2244 	EXP 	window1: blendMode = 'avg'
107.2413 	EXP 	window1: blendMode = 'avg'
107.2597 	EXP 	window1: blendMode = 'avg'
107.2750 	EXP 	window1: blendMode = 'avg'
107.2933 	EXP 	window1: blendMode = 'avg'
107.3085 	EXP 	window1: blendMode = 'avg'
107.3247 	EXP 	window1: blendMode = 'avg'
107.3431 	EXP 	window1: blendMode = 'avg'
107.3580 	EXP 	window1: blendMode = 'avg'
107.3766 	EXP 	window1: blendMode = 'avg'
107.3913 	EXP 	window1: blendMode = 'avg'
107.4104 	EXP 	window1: blendMode = 'avg'
107.4249 	EXP 	window1: blendMode = 'avg'
107.4434 	EXP 	window1: blendMode = 'avg'
107.4581 	EXP 	window1: blendMode = 'avg'
107.4765 	EXP 	window1: blendMode = 'avg'
107.4910 	EXP 	window1: blendMode = 'avg'
107.5097 	EXP 	window1: blendMode = 'avg'
107.5268 	EXP 	window1: blendMode = 'avg'
107.5416 	EXP 	window1: blendMode = 'avg'
107.5580 	EXP 	window1: blendMode = 'avg'
107.5772 	EXP 	window1: blendMode = 'avg'
107.5911 	EXP 	window1: blendMode = 'avg'
107.6082 	EXP 	window1: blendMode = 'avg'
107.6266 	EXP 	window1: blendMode = 'avg'
107.6413 	EXP 	window1: blendMode = 'avg'
107.6599 	EXP 	window1: blendMode = 'avg'
107.6748 	EXP 	window1: blendMode = 'avg'
107.6933 	EXP 	window1: blendMode = 'avg'
107.7084 	EXP 	window1: blendMode = 'avg'
107.7266 	EXP 	window1: blendMode = 'avg'
107.7426 	EXP 	window1: blendMode = 'avg'
107.7579 	EXP 	window1: blendMode = 'avg'
107.7764 	EXP 	window1: blendMode = 'avg'
107.7915 	EXP 	window1: blendMode = 'avg'
107.8096 	EXP 	window1: blendMode = 'avg'
107.8247 	EXP 	window1: blendMode = 'avg'
107.8433 	EXP 	window1: blendMode = 'avg'
107.8583 	EXP 	window1: blendMode = 'avg'
107.8762 	EXP 	window1: blendMode = 'avg'
107.8913 	EXP 	window1: blendMode = 'avg'
107.9082 	EXP 	window1: blendMode = 'avg'
107.9267 	EXP 	window1: blendMode = 'avg'
107.9415 	EXP 	window1: blendMode = 'avg'
107.9599 	EXP 	window1: blendMode = 'avg'
107.9750 	EXP 	window1: blendMode = 'avg'
107.9919 	EXP 	window1: blendMode = 'avg'
108.0082 	EXP 	window1: blendMode = 'avg'
108.0250 	EXP 	New trial (rep=3, index=0): None
108.0258 	EXP 	window1: blendMode = 'avg'
108.0407 	EXP 	text: autoDraw = False
108.0407 	EXP 	text: autoDraw = False
108.0407 	EXP 	text: autoDraw = True
108.0418 	EXP 	window1: blendMode = 'avg'
108.0599 	EXP 	window1: blendMode = 'avg'
108.0770 	EXP 	window1: blendMode = 'avg'
108.0921 	EXP 	window1: blendMode = 'avg'
108.1096 	EXP 	window1: blendMode = 'avg'
108.1266 	EXP 	window1: blendMode = 'avg'
108.1452 	EXP 	window1: blendMode = 'avg'
108.1579 	EXP 	window1: blendMode = 'avg'
108.1758 	EXP 	window1: blendMode = 'avg'
108.1926 	EXP 	window1: blendMode = 'avg'
108.2074 	EXP 	window1: blendMode = 'avg'
108.2260 	EXP 	window1: blendMode = 'avg'
108.2422 	EXP 	window1: blendMode = 'avg'
108.2596 	EXP 	window1: blendMode = 'avg'
108.2745 	EXP 	window1: blendMode = 'avg'
108.3009 	EXP 	window1: blendMode = 'avg'
108.3080 	EXP 	window1: blendMode = 'avg'
108.3346 	EXP 	window1: blendMode = 'avg'
108.3407 	EXP 	window1: blendMode = 'avg'
108.3570 	EXP 	window1: blendMode = 'avg'
108.3760 	EXP 	window1: blendMode = 'avg'
108.3928 	EXP 	window1: blendMode = 'avg'
108.4076 	EXP 	window1: blendMode = 'avg'
108.4262 	EXP 	window1: blendMode = 'avg'
108.4413 	EXP 	window1: blendMode = 'avg'
108.4575 	EXP 	window1: blendMode = 'avg'
108.4744 	EXP 	window1: blendMode = 'avg'
108.4911 	EXP 	window1: blendMode = 'avg'
108.5096 	EXP 	window1: blendMode = 'avg'
108.5264 	EXP 	window1: blendMode = 'avg'
108.5406 	EXP 	window1: blendMode = 'avg'
108.5589 	EXP 	window1: blendMode = 'avg'
108.5792 	EXP 	window1: blendMode = 'avg'
108.5935 	EXP 	window1: blendMode = 'avg'
108.6079 	EXP 	window1: blendMode = 'avg'
108.6252 	EXP 	window1: blendMode = 'avg'
108.6434 	EXP 	window1: blendMode = 'avg'
108.6606 	EXP 	window1: blendMode = 'avg'
108.6750 	EXP 	window1: blendMode = 'avg'
108.6920 	EXP 	window1: blendMode = 'avg'
108.7105 	EXP 	window1: blendMode = 'avg'
108.7277 	EXP 	window1: blendMode = 'avg'
108.7424 	EXP 	window1: blendMode = 'avg'
108.7613 	EXP 	window1: blendMode = 'avg'
108.7794 	EXP 	window1: blendMode = 'avg'
108.7924 	EXP 	window1: blendMode = 'avg'
108.8079 	EXP 	window1: blendMode = 'avg'
108.8261 	EXP 	window1: blendMode = 'avg'
108.8409 	EXP 	window1: blendMode = 'avg'
108.8577 	EXP 	window1: blendMode = 'avg'
108.8746 	EXP 	window1: blendMode = 'avg'
108.8913 	EXP 	window1: blendMode = 'avg'
108.9094 	EXP 	window1: blendMode = 'avg'
108.9242 	EXP 	window1: blendMode = 'avg'
108.9411 	EXP 	window1: blendMode = 'avg'
108.9580 	EXP 	window1: blendMode = 'avg'
108.9767 	EXP 	window1: blendMode = 'avg'
108.9911 	EXP 	window1: blendMode = 'avg'
109.0100 	EXP 	window1: blendMode = 'avg'
109.0254 	EXP 	New trial (rep=4, index=0): None
109.0266 	EXP 	window1: blendMode = 'avg'
109.0422 	EXP 	text: autoDraw = False
109.0422 	EXP 	text: autoDraw = False
109.0422 	EXP 	text: autoDraw = True
109.0434 	EXP 	window1: blendMode = 'avg'
109.0583 	EXP 	window1: blendMode = 'avg'
109.0746 	EXP 	window1: blendMode = 'avg'
109.0930 	EXP 	window1: blendMode = 'avg'
109.1079 	EXP 	window1: blendMode = 'avg'
109.1266 	EXP 	window1: blendMode = 'avg'
109.1411 	EXP 	window1: blendMode = 'avg'
109.1599 	EXP 	window1: blendMode = 'avg'
109.1749 	EXP 	window1: blendMode = 'avg'
109.1930 	EXP 	window1: blendMode = 'avg'
109.2088 	EXP 	window1: blendMode = 'avg'
109.2264 	EXP 	window1: blendMode = 'avg'
109.2408 	EXP 	window1: blendMode = 'avg'
109.2582 	EXP 	window1: blendMode = 'avg'
109.2749 	EXP 	window1: blendMode = 'avg'
109.2914 	EXP 	window1: blendMode = 'avg'
109.3095 	EXP 	window1: blendMode = 'avg'
109.3245 	EXP 	window1: blendMode = 'avg'
109.3427 	EXP 	window1: blendMode = 'avg'
109.3588 	EXP 	window1: blendMode = 'avg'
109.3764 	EXP 	window1: blendMode = 'avg'
109.3927 	EXP 	window1: blendMode = 'avg'
109.4091 	EXP 	window1: blendMode = 'avg'
109.4250 	EXP 	window1: blendMode = 'avg'
109.4411 	EXP 	window1: blendMode = 'avg'
109.4593 	EXP 	window1: blendMode = 'avg'
109.4746 	EXP 	window1: blendMode = 'avg'
109.4911 	EXP 	window1: blendMode = 'avg'
109.5094 	EXP 	window1: blendMode = 'avg'
109.5241 	EXP 	window1: blendMode = 'avg'
109.5412 	EXP 	window1: blendMode = 'avg'
109.5593 	EXP 	window1: blendMode = 'avg'
109.5770 	EXP 	window1: blendMode = 'avg'
109.5926 	EXP 	window1: blendMode = 'avg'
109.6085 	EXP 	window1: blendMode = 'avg'
109.6268 	EXP 	window1: blendMode = 'avg'
109.6413 	EXP 	window1: blendMode = 'avg'
109.6600 	EXP 	window1: blendMode = 'avg'
109.6746 	EXP 	window1: blendMode = 'avg'
109.6934 	EXP 	window1: blendMode = 'avg'
109.7074 	EXP 	window1: blendMode = 'avg'
109.7240 	EXP 	window1: blendMode = 'avg'
109.7413 	EXP 	window1: blendMode = 'avg'
109.7600 	EXP 	window1: blendMode = 'avg'
109.7769 	EXP 	window1: blendMode = 'avg'
109.7932 	EXP 	window1: blendMode = 'avg'
109.8082 	EXP 	window1: blendMode = 'avg'
109.8252 	EXP 	window1: blendMode = 'avg'
109.8415 	EXP 	window1: blendMode = 'avg'
109.8586 	EXP 	window1: blendMode = 'avg'
109.8775 	EXP 	window1: blendMode = 'avg'
109.8916 	EXP 	window1: blendMode = 'avg'
109.9112 	EXP 	window1: blendMode = 'avg'
109.9243 	EXP 	window1: blendMode = 'avg'
109.9427 	EXP 	window1: blendMode = 'avg'
109.9570 	EXP 	window1: blendMode = 'avg'
109.9760 	EXP 	window1: blendMode = 'avg'
109.9912 	EXP 	window1: blendMode = 'avg'
110.0079 	EXP 	window1: blendMode = 'avg'
104.2935 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([ 0.,  0.,  0.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f5b2f9b11d0>, multiSample=False, name='window1', numSamples=2, pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
104.2939 	EXP 	window1: recordFrameIntervals = False
104.4574 	EXP 	window1: recordFrameIntervals = True
104.8907 	EXP 	window1: recordFrameIntervals = False
105.0247 	EXP 	Created text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color=u'white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font=u'Arial', fontFiles=[], height=0.1, italic=False, name='text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Any text\n\nincluding line breaks', units=u'norm', win=Window(...), wrapWidth=1)
105.0263 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
105.0273 	EXP 	New trial (rep=0, index=0): None
105.0279 	EXP 	window1: blendMode = 'avg'
105.0320 	EXP 	text: autoDraw = True
105.0325 	EXP 	window1: blendMode = 'avg'
105.0371 	EXP 	window1: blendMode = 'avg'
105.0424 	EXP 	window1: blendMode = 'avg'
105.0485 	EXP 	window1: blendMode = 'avg'
105.0592 	EXP 	window1: blendMode = 'avg'
105.0759 	EXP 	window1: blendMode = 'avg'
105.0913 	EXP 	window1: blendMode = 'avg'
105.1077 	EXP 	window1: blendMode = 'avg'
105.1244 	EXP 	window1: blendMode = 'avg'
105.1428 	EXP 	window1: blendMode = 'avg'
105.1577 	EXP 	window1: blendMode = 'avg'
105.1749 	EXP 	window1: blendMode = 'avg'
105.1910 	EXP 	window1: blendMode = 'avg'
105.2094 	EXP 	window1: blendMode = 'avg'
105.2257 	EXP 	window1: blendMode = 'avg'
105.2408 	EXP 	window1: blendMode = 'avg'
105.2575 	EXP 	window1: blendMode = 'avg'
105.2742 	EXP 	window1: blendMode = 'avg'
105.2929 	EXP 	window1: blendMode = 'avg'
105.3074 	EXP 	window1: blendMode = 'avg'
105.3259 	EXP 	window1: blendMode = 'avg'
105.3404 	EXP 	window1: blendMode = 'avg'
105.3576 	EXP 	window1: blendMode = 'avg'
105.3759 	EXP 	window1: blendMode = 'avg'
105.3906 	EXP 	window1: blendMode = 'avg'
105.4080 	EXP 	window1: blendMode = 'avg'
105.4254 	EXP 	window1: blendMode = 'avg'
105.4415 	EXP 	window1: blendMode = 'avg'
105.4577 	EXP 	window1: blendMode = 'avg'
105.4760 	EXP 	window1: blendMode = 'avg'
105.4912 	EXP 	window1: blendMode = 'avg'
105.5080 	EXP 	window1: blendMode = 'avg'
105.5244 	EXP 	window1: blendMode = 'avg'
105.5429 	EXP 	window1: blendMode = 'avg'
105.5574 	EXP 	window1: blendMode = 'avg'
105.5789 	EXP 	window1: blendMode = 'avg'
105.5907 	EXP 	window1: blendMode = 'avg'
105.6075 	EXP 	window1: blendMode = 'avg'
105.6258 	EXP 	window1: blendMode = 'avg'
105.6401 	EXP 	window1: blendMode = 'avg'
105.6575 	EXP 	window1: blendMode = 'avg'
105.6770 	EXP 	window1: blendMode = 'avg'
105.6936 	EXP 	window1: blendMode = 'avg'
105.7083 	EXP 	window1: blendMode = 'avg'
105.7251 	EXP 	window1: blendMode = 'avg'
105.7418 	EXP 	window1: blendMode = 'avg'
105.7602 	EXP 	window1: blendMode = 'avg'
105.7768 	EXP 	window1: blendMode = 'avg'
105.7920 	EXP 	window1: blendMode = 'avg'
105.8103 	EXP 	window1: blendMode = 'avg'
105.8250 	EXP 	window1: blendMode = 'avg'
105.8435 	EXP 	window1: blendMode = 'avg'
105.8580 	EXP 	window1: blendMode = 'avg'
105.8770 	EXP 	window1: blendMode = 'avg'
105.8923 	EXP 	window1: blendMode = 'avg'
105.9100 	EXP 	window1: blendMode = 'avg'
105.9253 	EXP 	window1: blendMode = 'avg'
105.9416 	EXP 	window1: blendMode = 'avg'
105.9581 	EXP 	window1: blendMode = 'avg'
105.9763 	EXP 	window1: blendMode = 'avg'
105.9912 	EXP 	window1: blendMode = 'avg'
106.0078 	EXP 	window1: blendMode = 'avg'
106.0264 	EXP 	New trial (rep=1, index=0): None
106.0274 	EXP 	window1: blendMode = 'avg'
106.0404 	EXP 	text: autoDraw = False
106.0404 	EXP 	text: autoDraw = False
106.0404 	EXP 	text: autoDraw = True
106.0413 	EXP 	window1: blendMode = 'avg'
106.0597 	EXP 	window1: blendMode = 'avg'
